index,open,high,low,close,volume
20240620,271000,277500,266500,271000,166973
20240619,266000,275000,264000,271000,282673
20240618,278000,278500,269000,269500,286007
20240617,277000,288000,270500,276000,725105
20240614,276500,297000,269500,297000,500525
20240613,279000,287000,273500,276000,258953
20240612,290000,290500,276500,279000,205327
20240611,284500,292000,280500,286000,284291
20240610,278000,293000,275000,278000,279950
20240607,293500,296500,278000,279500,353564
20240605,296500,298000,285500,294500,284237
20240604,293000,301500,287000,301000,242655
20240603,292000,303000,287000,295000,290155
20240531,278000,293500,264500,293500,1566286
20240530,287500,296500,275000,276500,415489
20240529,296000,300500,282000,291000,572384
20240528,313000,317000,303000,307000,301900
20240527,338000,343000,304500,310500,594594
20240524,316000,334500,316000,331500,264532
20240523,327500,331000,318000,323000,231786
20240522,323000,332500,315000,327000,371712
20240521,311500,342500,304500,317500,837014
20240520,291000,310000,288500,307500,384171
20240517,276500,295500,270500,291000,452242
20240516,308500,311500,287000,290000,520138
20240514,305000,311000,285000,294000,378051
20240513,303000,324000,300000,300500,512140
20240510,309500,316500,286000,298000,543602
20240509,265500,314000,263500,309000,1181964
20240508,253500,271000,251500,268500,343788
20240507,269000,273500,257000,259500,369694
20240503,281000,281500,270000,270000,224934
20240502,285500,288500,272000,278500,265410
20240430,306000,307000,285000,286000,323371
20240429,283000,300000,280000,299000,360598
20240426,284000,292500,276500,280500,226021
20240425,271500,294500,271500,282500,395610
20240424,282500,286500,269500,276000,410994
20240423,282000,295500,275000,275000,472187
20240422,289500,305500,273500,275000,664306
20240419,315500,321000,297500,299500,395932
20240418,301500,322000,291000,315500,458978
20240417,339000,342000,297000,301500,822670
20240416,319000,339000,317000,332000,630539
20240415,347000,350000,316000,316500,991439
20240412,366000,389500,358500,361500,694527
20240411,363000,371000,348500,365500,483367
20240409,349000,374000,345000,363000,899535
20240408,360000,394500,342500,358000,2413652
20240405,330000,349500,300000,344500,1413282
20240404,310500,345000,310000,335500,1578308
20240403,270000,335000,269000,317000,3004696
20240402,245500,270000,239500,263000,1163104
20240401,226000,248500,224500,247500,770484
20240329,237000,238500,225000,227000,361676
20240328,232500,240000,226500,236500,615359
20240327,214500,231000,213000,227000,824896
20240326,224500,227500,208500,212500,735915
20240325,227500,232000,220500,226500,361712
20240322,225000,231500,223000,229500,327798
20240321,244500,244500,222500,227000,577293
20240320,231500,247500,228000,239000,770348
20240319,233500,234000,222000,229500,377913
20240318,238000,238000,221500,231000,507932
20240315,230000,244000,220000,231000,633589
20240314,242000,243500,230000,232500,503133
20240313,245000,252500,236000,238000,629323
20240312,268500,269500,244000,250500,730807
20240311,222000,278000,222000,263000,2348947
20240308,248000,250500,221000,224000,1418779
20240307,258500,262500,238500,243000,795516
20240306,261000,282000,254000,257000,1168803
20240305,261000,268500,243000,254000,1323969
20240304,278000,296000,260000,262000,1052281
20240229,296000,311000,270500,280500,1177425
20240228,323000,328000,291000,292000,925251
20240227,322000,346000,315000,331500,757980
20240226,292500,330000,275500,330000,1005691
20240223,307000,315500,287500,295500,1000133
20240222,318500,326500,304500,320000,561668
20240221,338000,358500,304500,326500,1192247
20240220,317500,338000,314500,333000,1262719
20240219,241000,319000,240000,301500,1839152
20240216,266000,269000,247000,252000,891009
20240215,283500,284000,255500,271500,876821
20240214,258500,298000,254000,275500,2104626
20240213,211500,267500,210000,267500,2543206
20240208,189200,222000,185700,206000,2095486
20240207,204000,209000,186600,194500,1797337
20240206,192000,216000,192000,209500,2155586
20240205,176500,194200,170100,191500,1478049
20240202,181300,194900,175900,181000,1867204
20240201,152700,181500,151000,180800,1537283
20240131,169300,174900,154000,163500,1469377
20240130,162000,177100,161100,173300,2081557
20240129,141400,171000,139500,169500,4938413
20240126,110900,136800,107300,135500,2478208
20240125,115600,124200,111000,113600,1144652
20240124,125000,128300,110800,118500,2376486
20240123,102000,119400,101200,119400,2629550
20240122,107000,111000,100200,103400,2289896
20240119,133100,142200,102100,105100,6661625
20240118,110700,132200,110000,129000,2853428
20240117,113500,120000,112400,114000,1975073
20240116,107000,117600,103900,110500,1481991
20240115,92300,110200,92100,107000,1898080
20240112,92300,96000,91200,93100,470888
20240111,87200,96500,86200,92500,1127247
20240110,91000,98600,86300,88200,2998372
20240109,85200,88500,85200,88000,652421
20240108,84100,84900,82900,84300,210953
20240105,83000,85500,82100,83700,318717
20240104,82700,86300,78800,84700,638343
20240103,82300,87500,81500,84600,631158
20240102,81000,84400,80400,83100,512013
20231228,76600,79600,75700,79500,268871
20231227,73800,77500,73400,76500,265894
20231226,75000,75800,72500,73400,333412
20231222,78200,78500,76300,76700,194886
20231221,76900,78500,75700,77500,286720
20231220,79100,79900,77200,78200,217235
20231219,78300,80100,77300,79100,267929
20231218,77200,81700,76500,79400,957465
20231215,72600,75500,71500,74700,496447
20231214,71700,72500,70300,71800,236525
20231213,72000,73000,69900,70300,317760
20231212,72500,74500,71700,73100,198290
20231211,75000,77600,72800,73000,657870
20231208,71200,74000,70300,73600,432004
20231207,71100,71900,69100,70800,308887
20231206,69500,72500,68400,70900,533561
20231205,67500,71500,67100,68400,583087
20231204,67900,72000,66100,68100,1693993
20231201,64500,65800,61600,62000,481226
20231130,60500,62000,60000,61400,136111
20231129,60500,60900,59300,60500,130729
20231128,62000,62200,59900,60500,150555
20231127,62300,62900,61100,61400,124185
20231124,61700,62600,61300,61600,123223
20231123,63300,64100,62000,62600,140077
20231122,62300,63900,62100,63700,127585
20231121,62100,63400,61000,63300,188343
20231120,59200,62600,59100,61700,209535
20231117,58300,61500,58000,59200,295961
20231116,58400,59200,57700,58800,104793
20231115,58300,59500,56900,58300,404676
20231114,58500,59800,57700,58800,279933
20231113,56000,58700,55900,58000,329138
20231110,55600,56300,54200,54200,131274
20231109,57700,58100,55900,56800,111279
20231108,58200,59800,57000,57400,134549
20231107,60100,60300,56200,59300,438467
20231106,57600,61600,55300,61300,793836
20231103,51700,53000,50100,52500,313517
20231102,50500,52000,49300,50600,342523
20231101,52300,52900,49500,50000,178425
20231031,55100,55300,50600,51700,280731
20231030,55000,56100,54000,55000,104416
20231027,53700,56600,53400,55000,179929
20231026,52300,55700,52300,53200,189057
20231025,57800,58300,54400,54400,182348
20231024,53100,57800,52000,57800,221187
20231023,55800,55800,52800,52900,180485
20231020,57600,58000,55000,55800,270053
20231019,56000,60400,55000,58600,333268
20231018,58100,63000,56900,57000,732884
20231017,56600,57700,56100,56300,76332
20231016,54400,57300,53900,56600,129579
20231013,56200,56700,55200,55500,84174
20231012,55700,57200,55300,56900,106899
20231011,52500,55800,52500,55200,149777
20231010,54200,54600,51500,51700,157328
20231006,53700,55100,53700,54200,53805
20231005,54900,56000,53900,54200,117657
20231004,55600,55900,53200,54000,174382
20230927,54500,57300,54200,57100,131976
20230926,55300,56400,54700,55000,104162
20230925,57100,58300,55400,55600,138520
20230922,55500,57900,55200,57300,122862
20230921,58400,58900,56300,56400,181347
20230920,57500,59300,57300,59300,147636
20230919,61000,61100,57800,58300,318297
20230918,61200,61900,61100,61100,85761
20230915,61600,62300,61000,61700,111345
20230914,61500,61900,60800,61400,127510
20230913,61900,62700,60800,61000,136972
20230912,61300,63700,60700,62300,294650
20230911,63100,63200,59800,60600,286461
20230908,63700,63700,62100,63200,152670
20230907,66000,66200,63100,63100,202968
20230906,64700,67900,64200,66000,349328
20230905,63600,64200,62700,63800,145324
20230904,62800,63900,62500,63600,172818
20230901,66200,66500,63500,63600,255656
20230831,67000,67900,65800,66700,165952
20230830,67800,68200,66800,66900,159930
20230829,67300,67700,66700,67200,141284
20230828,68800,68900,67200,67300,174226
20230825,66200,69000,65700,68300,248534
20230824,66600,67800,65800,67200,209893
20230823,66900,67600,65000,65700,177459
20230822,66000,67500,65600,66900,231201
20230821,63500,66200,62900,65400,231840
20230818,62800,64500,61000,63200,230652
20230817,62900,63400,61300,63100,251314
20230816,63400,64300,62100,63300,176450
20230814,64700,65400,63100,63200,161730
20230811,64900,65100,63800,64100,119658
20230810,64000,65700,63500,64500,157148
20230809,63200,65300,62800,64600,157022
20230808,64700,65200,63000,63200,239109
20230807,67200,67200,63800,64700,329995
20230804,68100,69300,66800,66900,256144
20230803,68000,68600,66500,68500,290353
20230802,70300,70800,68000,68100,345798
20230801,73400,73500,69100,71800,541955
20230731,67800,71000,67400,70500,409136
20230728,66600,68400,65400,67400,427973
20230727,69400,70800,66400,67200,507818
20230726,73300,78400,67800,68300,2013291
20230725,74500,74900,72000,72600,511331
20230724,74900,75200,72800,73300,645821
20230721,71000,74500,70500,73400,569707
20230720,68500,75100,67500,72300,983410
20230719,72100,72200,68000,68300,482546
20230718,68600,71800,68300,71800,525051
20230717,67800,68800,66800,68400,153966
20230714,69400,69400,66700,67900,302293
20230713,69600,70100,68800,68900,173945
20230712,69400,70200,68600,69500,152946
20230711,66800,69900,66800,69200,210481
20230710,68700,68700,66200,66300,223536
20230707,68500,69700,67600,68300,143244
20230706,71200,71300,68200,68500,298900
20230705,69900,72900,69500,71700,289763
20230704,71600,71600,69300,70000,220866
20230703,71500,72000,70700,71100,238733
20230630,68500,71200,67400,71000,209234
20230629,69000,70600,67800,68500,218659
20230628,70000,71700,68600,69100,358171
20230627,66700,69600,65400,68900,265924
20230626,67800,68100,66800,66800,176677
20230623,69700,69900,67500,68200,157131
20230622,68000,69800,67800,69000,158141
20230621,69800,70700,68200,68600,252633
20230620,71600,71600,69700,69900,225494
20230619,72900,72900,70600,71600,217850
20230616,73500,74600,72100,72500,396608
20230615,72300,72900,69900,71500,349762
20230614,75400,75700,71000,71200,451945
20230613,74500,75600,72900,74700,337243
20230612,73100,74100,72600,73900,289942
20230609,76300,76800,72100,72500,505660
20230608,75300,75700,74200,74800,253983
20230607,74200,75900,73400,75700,288266
20230605,73600,75000,73000,74000,319770
20230602,72100,73300,71700,72800,216408
20230601,72600,73200,70700,71800,217032
20230531,71000,73200,70500,72600,366020
20230530,69700,71500,69400,71300,392232
20230526,68500,69800,68100,68600,150972
20230525,69300,70000,67700,68300,179742
20230524,68700,69900,67700,69300,140098
20230523,69100,70700,68600,68800,308574
20230522,67900,69000,66500,68500,183214
20230519,67800,68500,66600,68500,207137
20230518,67500,69000,66300,67300,303777
20230517,65000,67200,64700,67100,178350
20230516,65500,66500,64000,65800,326106
20230515,65900,65900,61700,63500,297482
20230512,64100,65700,64100,65400,192458
20230511,66000,66800,64100,64600,247844
20230510,66900,67300,65000,65300,286623
20230509,70300,70300,66300,67700,379292
20230508,72400,73800,70200,70500,268977
20230504,71300,72000,70200,71500,203793
20230503,72400,73800,70800,71300,220952
20230502,70700,73800,70500,72900,350016
20230428,74800,74900,69800,69800,456850
20230427,69100,73900,68000,73500,535751
20230426,67600,70000,66700,68900,397888
20230425,70400,71200,66400,68200,493976
20230424,72900,73900,69600,70100,411023
20230421,70700,74200,70000,72500,604930
20230420,78000,79000,71700,72100,1093155
20230419,80100,81500,76700,77400,3550446
20230418,80200,80300,74500,74500,943064
20230417,77000,80200,75000,80100,924743
20230414,77900,78000,74400,75600,632391
20230413,72900,76600,70600,76400,1112475
20230412,80000,80500,72800,73000,3582014
20230411,86000,87200,80600,82900,696143
20230410,91500,92400,84900,86000,934201
20230407,87700,91200,85700,89500,601351
20230406,84100,92200,83800,87000,1027351
20230405,85700,86800,81600,85600,728324
20230404,82800,94300,80000,84800,1769027
20230403,74900,84600,73600,83400,2503578
20230331,72200,74600,69700,70600,525610
20230330,78300,78400,72200,72200,937083
20230329,63300,81000,63300,78300,2482945
20230328,63100,63900,61700,63000,222302
20230327,62400,64600,62000,63300,291713
20230324,63200,64000,61200,61700,277748
20230323,60600,63700,60100,61700,372932
20230322,59500,62300,59400,61200,271419
20230321,58700,59500,58000,58400,119358
20230320,57300,58600,57000,58100,112430
20230317,61700,61800,57600,58600,198412
20230316,59800,61700,58700,60200,159446
20230315,58400,61400,58100,60100,191980
20230314,60000,60200,56700,56700,196914
20230313,60000,60700,58800,60400,187786
20230310,60300,61400,60000,60700,165290
20230309,65400,66500,61500,61800,302437
20230308,65500,67200,65000,65300,193063
20230307,68000,70700,66700,66700,369987
20230306,69900,71200,68200,68800,520615
20230303,62700,68400,61900,67900,631627
20230302,61600,64100,61000,62500,264212
20230228,61600,62200,60500,60800,255296
20230227,62000,62300,60300,60800,213782
20230224,64000,64500,62600,62900,137167
20230223,66500,66500,63000,63500,319863
20230222,66500,68900,65200,66000,299571
20230221,64200,69700,63300,68000,563819
20230220,62700,64400,62000,63900,303468
20230217,62600,63400,61200,61300,166295
20230216,61300,64600,61300,64100,175303
20230215,62300,64100,60600,60700,232349
20230214,62600,62700,60900,62000,113474
20230213,61700,63100,60900,61700,107186
20230210,65000,65000,62300,62500,149483
20230209,63200,65200,62700,64500,154814
20230208,65000,65300,62800,63200,106131
20230207,61200,65000,60900,63900,204382
20230206,61800,62500,61000,61300,89511
20230203,62200,62500,61200,62000,101002
20230202,61700,62300,61100,62100,145614
20230201,60100,61400,59800,60700,103533
20230131,59000,60000,58500,59700,116100
20230130,60500,61300,59400,59900,80734
20230127,62000,62800,60300,60300,124598
20230126,58400,61300,58300,61200,189511
20230125,57200,58600,56900,58400,102497
20230120,56200,57100,56100,56500,46621
20230119,56200,57100,55000,56900,82302
20230118,56500,57200,55800,56500,68250
20230117,57100,57500,56000,56000,69806
20230116,58000,58600,57100,57100,50705
20230113,58500,58700,57400,57700,52305
20230112,59900,59900,58100,58400,93644
20230111,56900,59200,56900,58500,80239
20230110,57400,58300,55800,56500,81158
20230109,56500,57500,56200,57100,62289
20230106,54000,56100,53700,55900,62094
20230105,56600,57500,54300,54700,83560
20230104,54500,56800,53100,56600,93805
20230103,53900,56200,53800,56100,81977
20230102,53200,56500,53200,54200,116645
20221229,54500,54900,52000,52600,129476
20221228,55500,55900,53500,54900,144528
20221227,54800,56200,54800,56100,100834
20221226,53000,54900,52600,54900,119705
20221223,56000,56100,53500,53600,169069
20221222,56000,57200,56000,57100,86395
20221221,56700,57400,55500,55500,53874
20221220,56100,58100,56000,56100,67923
20221219,57400,57900,56000,56700,100711
20221216,58300,58800,57900,58300,73425
20221215,61100,61700,59300,59600,67559
20221214,59800,61300,58900,61300,73577
20221213,59300,59800,58100,59300,79391
20221212,60100,60300,58400,59300,95879
20221209,62400,62900,59300,60800,193597
20221208,61900,63400,61500,62300,127012
20221207,61400,62600,61000,61500,85349
20221206,62100,63000,61000,61900,98679
20221205,64500,65400,61900,62500,142577
20221202,65500,66700,64400,64500,94268
20221201,65800,66700,65200,65500,141052
20221130,65100,65500,64000,64500,81635
20221129,64300,65100,63300,64700,134990
20221128,65900,67000,64300,65000,183328
20221125,65700,66300,64000,65300,179072
20221124,63000,65100,63000,65100,136424
20221123,60100,63200,59800,62900,177300
20221122,58000,60700,58000,59700,236364
20221121,61600,62500,58300,58600,305953
20221118,64400,65800,62000,62100,290576
20221117,68100,68400,63800,64300,282008
20221116,71000,71000,68000,68700,322922
20221115,75500,75600,70800,71000,328498
20221114,71400,74900,71100,73900,315350
20221111,69400,71500,68100,71500,304997
20221110,67700,69100,67200,67300,122886
20221109,69900,70300,67500,68600,271934
20221108,71300,71300,67900,69900,114506
20221107,71800,71900,68700,69700,184416
20221104,71600,72300,70600,71900,123059
20221103,70800,73300,69000,71600,312331
20221102,75300,76900,71900,73600,259807
20221101,73600,77700,73500,76200,311763
20221031,74100,76000,72500,74500,293589
20221028,70100,75500,69100,73000,354895
20221027,70600,72300,70100,70700,159008
20221026,69700,70900,67800,69900,201052
20221025,73600,73900,67800,69500,315285
20221024,73700,75400,72000,73000,175408
20221021,71200,73800,71100,72100,129532
20221020,74300,75800,71400,72100,222829
20221019,75900,79200,73300,74400,376949
20221018,76200,77700,74400,75700,265899
20221017,66500,76000,66200,75600,481687
20221014,68200,68900,66600,68000,115528
20221013,69200,69300,66300,66300,121877
20221012,67300,69800,66600,69100,106841
20221011,68400,68700,66400,67200,168333
20221007,69900,71600,68700,70400,167333
20221006,65400,71300,64900,70500,251185
20221005,69000,70000,64500,64700,189934
20221004,67500,68600,66800,67500,144677
20220930,66100,68200,63000,66800,285202
20220929,69300,72000,67300,67300,268977
20220928,71500,72700,67100,67300,257785
20220927,70900,71600,66800,71200,214873
20220926,72500,72700,68900,70900,307379
20220923,76400,77000,73300,75000,298297
20220922,70900,76500,70400,75500,384009
20220921,69800,72700,67700,72700,238497
20220920,68000,71400,66600,70300,299262
20220919,73500,73500,64200,66600,373731
20220916,71300,76300,70300,73200,484961
20220915,70900,72500,67700,72400,507485
20220914,66000,70300,64000,69400,463952
20220913,68200,70600,67000,68200,602731
20220908,57500,68000,57500,66000,1439793
20220907,54800,57000,54800,56700,109785
20220906,54100,56600,54100,55400,87682
20220905,55000,55500,53800,54100,86258
20220902,57100,57900,54800,55000,154559
20220901,58700,58700,56700,56800,98585
20220831,55900,59500,55200,59500,185579
20220830,54300,56200,54100,55900,104839
20220829,54800,55700,53400,53700,197514
20220826,60100,60200,57900,58100,92406
20220825,56700,60000,56200,59300,162765
20220824,56600,57600,54500,56300,139631
20220823,56100,57600,55500,56400,136708
20220822,60100,60500,57000,57100,194254
20220819,63400,65000,60700,61000,218805
20220818,63100,65600,63000,64200,248217
20220817,57000,65200,56700,64700,747317
20220816,56500,57100,56200,56300,87100
20220812,56700,56800,55000,56300,87749
20220811,58600,58900,55900,56700,202693
20220810,53200,58700,53200,57600,291449
20220809,54900,55200,52700,54200,92468
20220808,53900,54900,53400,54900,62736
20220805,54500,55200,53600,54100,107205
20220804,53500,54700,53300,54100,93359
20220803,53300,53800,52000,53000,77378
20220802,54000,54800,52500,52900,105666
20220801,52500,54000,50800,53900,135229
20220728,50100,51300,49600,50100,112045
20220727,48950,49550,48400,49300,64226
20220726,48150,49850,47750,49100,91923
20220725,47850,48850,47000,48750,95488
20220722,48850,50300,47800,47800,160015
20220721,49350,49400,48150,48750,67617
20220720,48350,49200,47900,48500,105319
20220719,47050,47950,46050,47450,64817
20220718,45850,47950,45650,47350,124906
20220715,46500,46650,44250,45050,113330
20220714,45500,47200,44600,46000,178511
20220713,44700,45550,44200,45200,85252
20220712,46250,46450,44600,44700,122763
20220711,47300,47700,45800,47000,110477
20220708,46900,48750,46450,47100,141187
20220707,46400,47600,45400,46200,136378
20220706,47750,48100,45850,45900,117297
20220705,45350,47950,45150,47700,148317
20220704,46600,47200,44100,44800,137492
20220701,47700,49200,45800,46450,171284
20220630,51700,52100,46700,47800,337731
20220629,54600,54600,51100,52300,160363
20220628,55800,56800,54700,55800,64317
20220627,55300,56800,54100,55800,121621
20220624,52000,55100,51000,54300,151723
20220623,54900,56200,51500,51700,201795
20220622,59400,60100,54200,54800,216978
20220621,60600,61800,57400,58900,209743
20220620,66400,66400,59300,60000,279655
20220617,63000,66900,62300,65700,331786
20220616,64000,68500,63700,65200,232563
20220615,63000,65300,61500,62000,191528
20220614,62000,65700,61400,63100,234176
20220613,70800,71000,64400,64400,360015
20220610,74600,75400,73000,73300,246377
20220609,76300,77900,74200,76300,211279
20220608,77800,77800,76300,76800,80799
20220607,76300,77400,76200,76800,74999
20220603,78500,78500,77000,77300,96375
20220602,77800,78300,76400,77400,90733
20220531,75700,79300,75400,77900,349128
20220530,77700,77700,75000,75700,197643
20220527,78500,78900,76500,76700,94683
20220526,79500,79900,77000,77300,130160
20220525,80100,80300,78500,78800,134362
20220524,80000,80700,79000,79900,105072
20220523,83000,83100,78700,79800,159878
20220520,79000,83300,78500,81500,293485
20220519,78700,80600,77800,78200,262371
20220518,82100,84500,80700,81000,186475
20220517,81500,82200,80700,81000,135256
20220516,82000,83100,80800,81700,61763
20220513,78700,82200,78700,81700,64836
20220512,79200,81400,78300,78800,64212
20220511,80200,81600,79400,80800,67813
20220510,75100,80000,73900,80000,130757
20220509,80000,80600,77200,77200,113825
20220506,80600,82200,79200,80600,76521
20220504,82800,84500,81500,81800,120506
20220503,83400,84400,82700,82900,120471
20220502,82600,84000,82600,82800,230896
20220429,87100,88400,87000,87200,46699
20220428,87500,88600,86500,86600,48500
20220427,86600,88600,86000,87000,72935
20220426,88000,90400,87500,89900,62382
20220425,87700,88500,86800,87000,94383
20220422,89000,90700,88800,89300,86171
20220421,91500,92800,89700,89900,138209
20220420,92200,93200,90500,90500,73687
20220419,90000,92000,90000,91400,85535
20220418,91900,93500,88900,89700,135740
20220415,92800,93800,91400,92500,66300
20220414,95700,96000,93300,93500,111108
20220413,90400,94800,89000,94800,160142
20220412,91000,92300,88300,89700,191098
20220411,97000,98400,92700,93500,146713
20220408,94800,98100,94400,97500,208427
20220407,92500,95400,91800,94100,136659
20220406,95000,95900,92700,94800,201065
20220405,100700,100700,95500,96400,185040
20220404,98400,100500,97100,98900,190742
20220401,95700,98400,94800,96500,162222
20220331,93600,97000,92800,96600,197545
20220330,94200,95000,89500,94700,229910
20220329,94000,96800,92500,92700,216484
20220328,94100,94800,91600,92000,120656
20220325,94600,97100,93500,94100,217461
20220324,90300,96000,89000,94900,436307
20220323,87800,90700,87700,90000,339682
20220322,87300,87800,85300,86000,147419
20220321,87200,89200,86400,87300,338723
20220318,78100,90100,76000,86400,839778
20220317,75700,79700,74900,77200,422562
20220316,79800,80500,73000,73600,436009
20220315,78400,80700,76600,77600,160933
20220314,84900,84900,78900,79100,284347
20220311,88300,88600,84000,85200,190903
20220310,89700,89900,85800,88400,100475
20220308,84900,89300,84100,86700,148190
20220307,88400,89000,85000,86700,229325
20220304,92000,92200,89600,91000,194455
20220303,88000,94000,87400,93500,261716
20220302,84000,87800,83300,86700,181341
20220228,85200,87900,84100,84700,219066
20220225,87000,87900,84000,86500,391324
20220224,91500,94700,84000,84000,954173
20220223,97900,99000,96400,97600,111448
20220222,93400,98400,93300,96700,175469
20220221,96800,97400,94800,96700,232681
20220218,98100,101200,98000,99400,182011
20220217,103700,107500,98200,100500,364191
20220216,100000,102400,98500,101900,231959
20220215,94400,99500,93100,96200,355688
20220214,98300,100200,93300,93400,374946
20220211,101800,102900,99000,101300,262218
20220210,111000,111000,104200,104300,324933
20220209,98600,112500,97000,111000,746449
20220208,100500,103900,96100,97100,248585
20220207,98900,101000,95600,100500,194375
20220204,94800,99700,94000,98600,229851
20220203,92000,97900,92000,95300,463779
20220128,92500,99600,88000,95400,274480
20220127,103400,103400,93100,93800,323517
20220126,103800,106500,100100,101100,224715
20220125,104700,107000,100000,103500,338763
20220124,107500,108000,101100,103000,366012
20220121,118100,121000,108700,110700,380586
20220120,113000,120000,111400,119900,398276
20220119,111000,113700,108000,112000,168354
20220118,112500,114800,109000,112500,237293
20220117,113300,117400,108300,112900,483054
20220114,105200,111000,102600,109900,358137
20220113,100000,107700,99500,106900,634033
