Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,81000.0,84400.0,80200.0,83000.0,81092.078125,38655276
2021-01-05,81600.0,83900.0,81600.0,83900.0,81971.390625,35335669
2021-01-06,83300.0,84500.0,82100.0,82200.0,80310.4609375,42089013
2021-01-07,82800.0,84200.0,82700.0,82900.0,80994.359375,32644642
2021-01-08,83300.0,90000.0,83000.0,88800.0,86758.7578125,59013307
2021-01-11,90000.0,96800.0,89500.0,91000.0,88908.171875,90306177
2021-01-12,90300.0,91400.0,87800.0,90600.0,88517.375,48682416
2021-01-13,89800.0,91200.0,89100.0,89700.0,87638.0625,36068848
2021-01-14,88700.0,90000.0,88700.0,89700.0,87638.0625,26393970
2021-01-15,89800.0,91800.0,88000.0,88000.0,85977.1328125,33431809
2021-01-18,86600.0,87300.0,84100.0,85000.0,83046.09375,43227951
2021-01-19,84500.0,88000.0,83600.0,87000.0,85000.125,39895044
2021-01-20,89000.0,89000.0,86500.0,87200.0,85195.53125,25211127
2021-01-21,87500.0,88600.0,86500.0,88100.0,86074.84375,25318011
2021-01-22,89000.0,89700.0,86800.0,86800.0,84804.71875,30861661
2021-01-25,87000.0,89900.0,86300.0,89400.0,87344.953125,27258534
2021-01-26,88800.0,89200.0,86500.0,86700.0,84707.015625,33178936
2021-01-27,86600.0,87700.0,85600.0,85600.0,83632.3046875,26423070
2021-01-28,83200.0,85600.0,83200.0,83700.0,81775.9765625,31859808
2021-01-29,84500.0,85000.0,82000.0,82000.0,80115.0546875,39615978
2021-02-01,81700.0,83400.0,81000.0,83000.0,81092.078125,28046832
2021-02-02,84100.0,86400.0,83700.0,84400.0,82459.8828125,26302077
2021-02-03,84800.0,85400.0,83400.0,84600.0,82655.2890625,22112205
2021-02-04,83500.0,83800.0,82100.0,82500.0,80603.5625,24171688
2021-02-05,83100.0,84000.0,82500.0,83500.0,81580.5703125,18036835
2021-02-08,83800.0,84200.0,83000.0,83000.0,81092.078125,15338765
2021-02-09,84000.0,84800.0,82700.0,82700.0,80798.96875,20898332
2021-02-10,82600.0,82600.0,81600.0,81600.0,79724.2578125,23025766
2021-02-15,83800.0,84500.0,83300.0,84200.0,82264.484375,23529706
2021-02-16,84500.0,86000.0,84200.0,84900.0,82948.390625,20483100
2021-02-17,83900.0,84200.0,83000.0,83200.0,81287.4765625,18307735
2021-02-18,83200.0,83600.0,82100.0,82100.0,80212.7578125,21327683
2021-02-19,82300.0,82800.0,81000.0,82600.0,80701.2578125,25880879
2021-02-22,83800.0,84200.0,82200.0,82200.0,80310.4609375,25419886
2021-02-23,81200.0,82900.0,81100.0,82000.0,80115.0546875,20587314
2021-02-24,81800.0,83600.0,81300.0,82000.0,80115.0546875,26807651
2021-02-25,84000.0,85400.0,83000.0,85300.0,83339.1953125,34155986
2021-02-26,82800.0,83400.0,82000.0,82500.0,80603.5625,38520800
2021-03-02,85100.0,85300.0,83000.0,83600.0,81678.28125,33498180
2021-03-03,83500.0,84000.0,82800.0,84000.0,82069.0859375,19882132
2021-03-04,82600.0,83200.0,82200.0,82400.0,80505.8671875,24348331
2021-03-05,81100.0,82600.0,81100.0,82100.0,80212.7578125,20508971
2021-03-08,82900.0,83000.0,81600.0,82000.0,80115.0546875,17641256
2021-03-09,81400.0,81900.0,80600.0,81400.0,79528.859375,25420764
2021-03-10,82400.0,82500.0,80700.0,80900.0,79040.34375,20038422
2021-03-11,81000.0,82500.0,81000.0,82000.0,80115.0546875,23818297
2021-03-12,83100.0,83500.0,82400.0,82800.0,80896.671875,13530573
2021-03-15,82800.0,82900.0,81800.0,81800.0,79919.6484375,13735798
2021-03-16,82200.0,83000.0,82100.0,82800.0,80896.671875,12293537
2021-03-17,82800.0,82900.0,82000.0,82300.0,80408.1640625,11625146
2021-03-18,82800.0,83800.0,82600.0,82900.0,80994.359375,18585244
2021-03-19,82100.0,82500.0,81800.0,81900.0,80017.359375,15869700
